zoned_school,school_level,current_school,Check,zoned_school_helper
Adams,Mid,ADAMS MIDDLE SCHOOL,1,Adams
Alafia,Elem,ALAFIA ELEMENTARY,1,Alafia
Alexander,Elem,ALEXANDER ELEMENTARY,1,Alexander
Alonso,High,ALONSO HIGH SCHOOL,1,Alonso
Anderson,Elem,ANDERSON ELEMENTARY,1,Anderson
Apollo Beach,Elem,APOLLO BEACH ELEMENTARY,1,Apollo Beach
Armwood,High,ARMWOOD HIGH SCHOOL,1,Armwood
Bailey,Elem,BAILEY ELEMENTARY,1,Bailey
Ballast Point,Elem,BALLAST POINT ELEMENTARY,1,Ballast Point
Barrington,Mid,BARRINGTON MIDDLE SCHOOL,1,Barrington
Bay Crest,Elem,BAY CREST ELEMENTARY,1,Bay Crest
Bellamy,Elem,BELLAMY ELEMENTARY,1,Bellamy
Belmont,Elem,BELMONT ELEMENTARY SCHOOL,1,Belmont
Benito,Mid,BENITO MIDDLE SCHOOL,1,Benito
Bevis,Elem,BEVIS ELEMENTARY,1,Bevis
Bing,Elem,BING ELEMENTARY,1,Bing
Blake,High,BLAKE HIGH SCHOOL,1,Blake
Bloomingdale,High,BLOOMINGDALE HIGH SCHOOL,1,Bloomingdale
Boyette Springs,Elem,BOYETTE SPRINGS ELEMENTARY,1,Boyette Springs
Brandon,High,BRANDON HIGH SCHOOL,1,Brandon
Brooker,Elem,BROOKER ELEMENTARY,1,Brooker
Broward,Elem,BROWARD ELEMENTARY,1,Broward
Bryan,Elem,BRYAN PLANT CITY ELEMENTARY,1,Bryan
Bryant,Elem,BRYANT ELEMENTARY,1,Bryant
Buchanan,Mid,BUCHANAN MIDDLE SCHOOL,1,Buchanan
Buckhorn,Elem,BUCKHORN ELEMENTARY,1,Buckhorn
Burnett,Mid,BURNETT MIDDLE SCHOOL,1,Burnett
Burney,Elem,BURNEY ELEMENTARY,1,Burney
Burns,Mid,BURNS MIDDLE SCHOOL,1,Burns
Cannella,Elem,CANNELLA ELEMENTARY,1,Cannella
Carrollwood,Elem,CARROLLWOOD K-8 SCHOOL,1,Carrollwood
Carrollwood K-8,Mid,CARROLLWOOD K-8 SCHOOL,1,Carrollwood K-8
Chamberlain,High,CHAMBERLAIN HIGH SCHOOL,1,Chamberlain
Chiaramonte,Elem,CHIARAMONTE ELEMENTARY,1,Chiaramonte
Chiles,Elem,CHILES ELEMENTARY,1,Chiles
Choice,Elem,,2,Choice
Choice,Mid,,2,Choice
Cimino,Elem,CIMINO ELEMENTARY,1,Cimino
Citrus Park,Elem,CITRUS PARK ELEMENTARY,1,Citrus Park
Clair Mel,Elem,CLAIR MEL ELEMENTARY,1,Clair Mel
Clark,Elem,CLARK ELEMENTARY,1,Clark
Claywell,Elem,CLAYWELL ELEMENTARY,1,Claywell
Cleveland,Elem,CLEVELAND ELEMENTARY,1,Cleveland
Coleman,Mid,COLEMAN MIDDLE SCHOOL,1,Coleman
Collins,Elem,COLLINS PK-8 SCHOOL,2,Collins
Collins,Mid,COLLINS PK-8 SCHOOL,2,Collins
Colson,Elem,COLSON ELEMENTARY,1,Colson
Cork,Elem,CORK ELEMENTARY,1,Cork
Corr,Elem,CORR ELEMENTARY,1,Corr
Crestwood,Elem,CRESTWOOD ELEMENTARY,1,Crestwood
Cypress Creek,Elem,CYPRESS CREEK ELEMENTARY,1,Cypress Creek
Davidsen,Mid,DAVIDSEN MIDDLE SCHOOL,1,Davidsen
Davis,Elem,DAVIS ELEMENTARY,1,Davis
Dawson,Elem,DAWSON ELEMENTARY,1,Dawson
DeSoto,Elem,DESOTO ELEMENTARY,1,DeSoto
Deer Park,Elem,DEER PARK ELEMENTARY,1,Deer Park
Dickenson,Elem,DICKENSON ELEMENTARY,1,Dickenson
Doby,Elem,DOBY ELEMENTARY,1,Doby
Dover,Elem,DOVER ELEMENTARY,1,Dover
Dowdell,Mid,DOWDELL MIDDLE SCHOOL,1,Dowdell
Durant,High,DURANT HIGH SCHOOL,1,Durant
ESE Center,Elem,SEFFNER ELEMENTARY,1,ESE Center
East Bay,High,EAST BAY HIGH SCHOOL,1,East Bay
Edison,Elem,EDISON ELEMENTARY,1,Edison
Egypt Lake,Elem,EGYPT LAKE ELEMENTARY,1,Egypt Lake
Eisenhower,Mid,EISENHOWER MIDDLE SCHOOL,1,Eisenhower
Essrig,Elem,ESSRIG ELEMENTARY,1,Essrig
Farnell,Mid,FARNELL MIDDLE SCHOOL,1,Farnell
FishHawk Creek,Elem,FISHHAWK CREEK ELEMENTARY,1,FishHawk Creek
Folsom,Elem,FOLSOM ELEMENTARY,1,Folsom
Forest Hills,Elem,FOREST HILLS ELEMENTARY,1,Forest Hills
Foster,Elem,FOSTER ELEMENTARY,1,Foster
Freedom,High,FREEDOM HIGH SCHOOL,1,Freedom
Frost,Elem,FROST ELEMENTARY,1,Frost
Gaither,High,GAITHER HIGH SCHOOL,1,Gaither
Gibsonton,Elem,GIBSONTON ELEMENTARY,1,Gibsonton
Giunta,Mid,GIUNTA MIDDLE SCHOOL,1,Giunta
Gorrie,Elem,GORRIE ELEMENTARY,1,Gorrie
Grady,Elem,GRADY ELEMENTARY,1,Grady
Graham,Elem,GRAHAM ELEMENTARY,1,Graham
Greco,Mid,GRECO MIDDLE MAGNET SCHOOL,1,Greco
Hammond,Elem,HAMMOND ELEMENTARY,1,Hammond
Heritage,Elem,HERITAGE ELEMENTARY,1,Heritage
Hill,Mid,HILL MIDDLE SCHOOL,1,Hill
Hillsborough,High,HILLSBOROUGH HIGH SCHOOL,1,Hillsborough
Hunters Green,Elem,HUNTER'S GREEN ELEMENTARY,1,Hunters Green
Ippolito,Elem,IPPOLITO ELEMENTARY,1,Ippolito
Jackson,Elem,JACKSON ELEMENTARY,1,Jackson
James,Elem,JAMES ELEMENTARY,1,James
Jefferson,High,JEFFERSON HIGH SCHOOL,1,Jefferson
Jennings,Mid,JENNINGS MIDDLE SCHOOL,1,Jennings
Kenly,Elem,KENLY ELEMENTARY,1,Kenly
Kimbell,Elem,KIMBELL ELEMENTARY,1,Kimbell
King,High,KING HIGH SCHOOL,1,King
Kingswood,Elem,KINGSWOOD ELEMENTARY,1,Kingswood
Knights,Elem,KNIGHTS ELEMENTARY,1,Knights
Lake Magdalene,Elem,LAKE MAGDALENE ELEMENTARY,1,Lake Magdalene
Lamb,Elem,LAMB ELEMENTARY,1,Lamb
Lanier,Elem,LANIER ELEMENTARY,1,Lanier
Lennard,High,LENNARD HIGH SCHOOL,1,Lennard
Leto,High,LETO HIGH SCHOOL,1,Leto
Lewis,Elem,LEWIS ELEMENTARY,1,Lewis
Liberty,Mid,LIBERTY MIDDLE SCHOOL,1,Liberty
Limona,Elem,LIMONA ELEMENTARY,1,Limona
Lithia Springs,Elem,LITHIA SPRINGS ELEMENTARY,1,Lithia Springs
Lopez,Elem,LOPEZ ELEMENTARY,1,Lopez
Lowry,Elem,LOWRY ELEMENTARY,1,Lowry
Lutz,Elem,LUTZ K-8 SCHOOL,1,Lutz
Mabry,Elem,MABRY ELEMENTARY,1,Mabry
Madison,Mid,MADISON MIDDLE SCHOOL,1,Madison
Magnet,Elem,,1,Magnet
Mango,Elem,MANGO ELEMENTARY,1,Mango
Maniscalco,Elem,MANISCALCO K-8 SCHOOL,1,Maniscalco
Mann,Mid,MANN MIDDLE SCHOOL,1,Mann
Marshall,Mid,MARSHALL MIDDLE MAGNET SCHOOL,1,Marshall
Martinez,Mid,MARTINEZ MIDDLE SCHOOL,1,Martinez
McDonald,Elem,MCDONALD ELEMENTARY,1,McDonald
McKitrick,Elem,MCKITRICK ELEMENTARY,1,McKitrick
McLane,Mid,MCLANE MIDDLE SCHOOL,1,McLane
Memorial,Mid,MEMORIAL MIDDLE SCHOOL,1,Memorial
Mendenhall,Elem,MENDENHALL ELEMENTARY,1,Mendenhall
Middleton,High,MIDDLETON HIGH SCHOOL,1,Middleton
Miles,Elem,MILES ELEMENTARY,1,Miles
Mintz,Elem,MINTZ ELEMENTARY,1,Mintz
Mitchell,Elem,MITCHELL ELEMENTARY,1,Mitchell
Monroe,Mid,MONROE MIDDLE MAGNET SCHOOL,1,Monroe
Morgan Woods,Elem,MORGAN WOODS ELEMENTARY,1,Morgan Woods
Mort,Elem,MORT ELEMENTARY,1,Mort
Mulrennan,Mid,MULRENNAN MIDDLE SCHOOL,1,Mulrennan
Nelson,Elem,NELSON ELEMENTARY,1,Nelson
Newsome,High,NEWSOME HIGH SCHOOL,1,Newsome
Northwest,Elem,NORTHWEST ELEMENTARY,1,Northwest
Oak Grove,Elem,OAK GROVE ELEMENTARY,1,Oak Grove
Oak Park,Elem,OAK PARK ELEMENTARY,1,Oak Park
Palm River,Elem,PALM RIVER ELEMENTARY,1,Palm River
Pierce,Mid,PIERCE MIDDLE SCHOOL,1,Pierce
Pinecrest,Elem,PINECREST ELEMENTARY,1,Pinecrest
Pizzo,Elem,PIZZO K-8 SCHOOL,1,Pizzo
Plant,High,PLANT HIGH SCHOOL,1,Plant
Plant City,High,PLANT CITY HIGH SCHOOL,1,Plant City
Potter,Elem,POTTER ELEMENTARY,1,Potter
Pride,Elem,PRIDE ELEMENTARY,1,Pride
Randall,Mid,RANDALL MIDDLE SCHOOL,1,Randall
Reddick,Elem,REDDICK ELEMENTARY,1,Reddick
Riverview,Elem,RIVERVIEW ELEMENTARY,2,Riverview
Riverview,High,RIVERVIEW HIGH SCHOOL,2,Riverview High
Robinson,Elem,ROBINSON ELEMENTARY,2,Robinson
Robinson,High,ROBINSON HIGH SCHOOL,2,Robinson High
Robles,Elem,ROBLES ELEMENTARY,1,Robles
Rodgers,Mid,RODGERS MIDDLE MAGNET SCHOOL,1,Rodgers
Roosevelt,Elem,ROOSEVELT ELEMENTARY,1,Roosevelt
Ruskin,Elem,RUSKIN ELEMENTARY,1,Ruskin
SEMINOLE HEIGHTS,Elem,SEMINOLE HEIGHTS ELEMENTARY,1,SEMINOLE HEIGHTS
Schmidt,Elem,SCHMIDT ELEMENTARY,1,Schmidt
Schwarzkopf,Elem,SCHWARZKOPF ELEMENTARY,1,Schwarzkopf
Seffner,Elem,SEFFNER ELEMENTARY,1,Seffner
Seminole,Elem,SEMINOLE HEIGHTS ELEMENTARY,1,Seminole
Sessums,Elem,SESSUMS ELEMENTARY,1,Sessums
Sgt. Smith,Mid,SMITH MIDDLE SCHOOL,1,Sgt. Smith
Shaw,Elem,SHAW ELEMENTARY,1,Shaw
Sheehy,Elem,SHEEHY ELEMENTARY,1,Sheehy
Shields,Mid,SHIELDS MIDDLE SCHOOL,1,Shields
Sickles,High,SICKLES HIGH SCHOOL,1,Sickles
Sligh,Mid,SLIGH MIDDLE SCHOOL,1,Sligh
Smith,Mid,SMITH MIDDLE SCHOOL,1,Smith
Spoto,High,SPOTO HIGH SCHOOL,1,Spoto
Springhead,Elem,SPRINGHEAD ELEMENTARY,1,Springhead
Steinbrenner,High,STEINBRENNER HIGH SCHOOL,1,Steinbrenner
Stewart,Mid,STEWART MIDDLE SCHOOL,1,Stewart
Stowers,Elem,STOWERS ELEMENTARY,1,Stowers
Strawberry Crest,High,STRAWBERRY CREST HIGH SCHOOL,1,Strawberry Crest
Sulphur Springs,Elem,SULPHUR SPRINGS K-8,1,Sulphur Springs
Sulphur Springs K-8,Mid,SULPHUR SPRINGS K-8,1,Sulphur Springs K-8
Summerfield,Elem,SUMMERFIELD ELEMENTARY,1,Summerfield
Summerfield Crossings,Elem,SUMMERFIELD CROSSINGS ELEM,1,Summerfield Crossings
Sumner,High,SUMNER HIGH SCHOOL,1,Sumner
Symmes,Elem,SYMMES ELEMENTARY,1,Symmes
Tampa Bay Boulevard,Elem,TAMPA BAY BOULEVARD ELEMENTARY,1,Tampa Bay Boulevard
Tampa Palms,Elem,TAMPA PALMS ELEMENTARY,1,Tampa Palms
Temple Terrace,Elem,TERRACE COMMUNITY SCHOOL,1,Temple Terrace
Thompson,Elem,THOMPSON ELEMENTARY,1,Thompson
Thonotosassa,Elem,THONOTOSASSA ELEMENTARY,1,Thonotosassa
Tinker,Elem,TINKER K-8 SCHOOL,1,Tinker
Tinker K-8,Mid,TINKER K-8 SCHOOL,1,Tinker K-8
Tomlin,Mid,TOMLIN MIDDLE SCHOOL,1,Tomlin
Town and Country,Elem,TOWN AND COUNTRY ELEMENTARY,1,Town and Country
Trapnell,Elem,TRAPNELL ELEMENTARY,1,Trapnell
Turkey Creek,Mid,TURKEY CREEK MIDDLE SCHOOL,1,Turkey Creek
Turner/Bartels,Elem,TURNER BARTELS K-8,1,Turner/Bartels
Turner/Bartels K-8,Mid,TURNER BARTELS K-8,1,Turner/Bartels K-8
Twin Lakes,Elem,TWIN LAKES ELEMENTARY,1,Twin Lakes
Valrico,Elem,VALRICO ELEMENTARY,1,Valrico
Walden Lake,Elem,WALDEN LAKE ELEMENTARY,1,Walden Lake
Washington,Elem,WASHINGTON ELEMENTARY,1,Washington
Webb,Mid,WEBB MIDDLE SCHOOL,1,Webb
West Shore,Elem,WEST SHORE ELEMENTARY,1,West Shore
West Tampa,Elem,WEST TAMPA ELEMENTARY,1,West Tampa
Westchase,Elem,WESTCHASE ELEMENTARY,1,Westchase
Wharton,High,WHARTON HIGH SCHOOL,1,Wharton
Wilson,Elem,WILSON ELEMENTARY,2,Wilson
Wilson,Mid,WILSON MIDDLE SCHOOL,2,Wilson Mid
Wimauma,Elem,WIMAUMA ELEMENTARY,1,Wimauma
Witter,Elem,WITTER ELEMENTARY,1,Witter
Woodbridge,Elem,WOODBRIDGE ELEMENTARY,1,Woodbridge
Woodson,Elem,WOODSON K-8,1,Woodson
Woodson K-8,Mid,WOODSON K-8,1,Woodson K-8
Yates,Elem,YATES ELEMENTARY,1,Yates
