school_name,type,informational_baseline_grade_2023,inexperienced_teachers,share_days_with_sub,students_who_leave,percent_of_students_absent_10_percent_or_more,child_poverty,inexperienced_teachers_ave,share_days_with_sub_ave,students_who_leave_ave,percent_of_students_absent_10_percent_or_more_ave,child_poverty_ave,school_name_clean
SHEEHY ELEMENTARY SCHOOL,Elementary,F,0.33299999999999996,0.0826096618357488,0.422,0.45,1,0.207,0.056,0.322,0.319,0.826,Sheehy Elementary
KIMBELL ELEMENTARY SCHOOL,Elementary,D,0.48,0.13851882716049382,0.52,0.416,1,0.207,0.056,0.322,0.319,0.826,Kimbell Elementary
LAMB ELEMENTARY,Elementary,D,0.556,0.07543606237816763,0.549,0.543,1,0.207,0.056,0.322,0.319,0.826,Lamb Elementary
JUST ELEMENTARY SCHOOL,Elementary,F,0.462,0.10788932461873638,0.49,0.566,1,0.207,0.056,0.322,0.319,0.826,Just Elementary
BROWARD ELEMENTARY SCHOOL,Elementary,D,0.115,0.05069037037037037,0.468,0.365,1,0.207,0.056,0.322,0.319,0.826,Broward Elementary
BURNEY ELEMENTARY SCHOOL,Elementary,D,0.21899999999999997,0.061077139208173696,0.414,0.357,1,0.207,0.056,0.322,0.319,0.826,Burney Elementary
LOCKHART ELEMENTARY MAGNET SCHOOL,Elementary,D,0.303,0.07095370370370371,-,0.28,1,0.207,0.056,0.322,0.319,0.826,Lockhart Elementary Magnet
EDISON ELEMENTARY SCHOOL,Elementary,D,0.258,0.0783363511659808,0.404,0.396,1,0.207,0.056,0.322,0.319,0.826,Edison Elementary
FOSTER ELEMENTARY SCHOOL,Elementary,D,0.379,0.11974022988505748,0.427,0.381,1,0.207,0.056,0.322,0.319,0.826,Foster Elementary
GRAHAM ELEMENTARY SCHOOL,Elementary,D,0.19,0.06588888888888889,0.64,0.5,1,0.207,0.056,0.322,0.319,0.826,Graham Elementary
IPPOLITO ELEMENTARY SCHOOL,Elementary,D,0.5,0.0978911014911015,0.606,0.486,1,0.207,0.056,0.322,0.319,0.826,Ippolito Elementary
JACKSON ELEMENTARY SCHOOL,Elementary,D,0.237,0.044280837359098234,0.414,0.35,1,0.207,0.056,0.322,0.319,0.826,Jackson Elementary
KENLY ELEMENTARY SCHOOL,Elementary,D,0.35100000000000003,0.0681988425925926,0.408,0.459,1,0.207,0.056,0.322,0.319,0.826,Kenly Elementary
KINGSWOOD ELEMENTARY SCHOOL,Elementary,D,0.16699999999999998,0.08994920634920635,0.48,0.384,1,0.207,0.056,0.322,0.319,0.826,Kingswood Elementary
MANGO ELEMENTARY SCHOOL,Elementary,D,0.34,0.08145202213707961,0.365,0.457,1,0.207,0.056,0.322,0.319,0.826,Mango Elementary
MILES ELEMENTARY SCHOOL,Elementary,D,0.255,0.03983567787971457,0.348,0.5,1,0.207,0.056,0.322,0.319,0.826,Miles Elementary
OAK PARK ELEMENTARY SCHOOL,Elementary,D,0.35700000000000004,0.04894172839506173,0.424,0.501,1,0.207,0.056,0.322,0.319,0.826,Oak Park Elementary
PALM RIVER ELEMENTARY SCHOOL,Elementary,D,0.344,0.05598412698412698,0.366,0.513,1,0.207,0.056,0.322,0.319,0.826,Palm River Elementary
POTTER ELEMENTARY SCHOOL,Elementary,F,0.265,0.051378733572281954,0.591,0.479,1,0.207,0.056,0.322,0.319,0.826,Potter Elementary
ROBLES ELEMENTARY SCHOOL,Elementary,D,0.4,0.09096625514403292,0.535,0.593,1,0.207,0.056,0.322,0.319,0.826,Robles Elementary
RUSKIN ELEMENTARY SCHOOL,Elementary,D,0.33299999999999996,0.064373268921095,0.402,0.444,1,0.207,0.056,0.322,0.319,0.826,Ruskin Elementary
SHAW ELEMENTARY SCHOOL,Elementary,F,0.294,0.06806440545808967,0.343,0.488,1,0.207,0.056,0.322,0.319,0.826,Shaw Elementary
TWIN LAKES ELEMENTARY SCHOOL,Elementary,D,0.41,0.06971018518518518,0.306,0.42,1,0.207,0.056,0.322,0.319,0.826,Twin Lakes Elementary
JAMES ELEMENTARY SCHOOL,Elementary,D,0.379,0.1111358024691358,0.483,0.626,1,0.207,0.056,0.322,0.319,0.826,James Elementary
WIMAUMA ELEMENTARY SCHOOL,Elementary,D,0.128,0.07045028058361391,0.218,0.387,1,0.207,0.056,0.322,0.319,0.826,Wimauma Elementary
WITTER ELEMENTARY SCHOOL,Elementary,D,0.306,0.08284230019493179,0.369,0.435,1,0.207,0.056,0.322,0.319,0.826,Witter Elementary
YATES ELEMENTARY SCHOOL,Elementary,D,0.43200000000000005,0.06939654320987654,0.339,0.423,1,0.207,0.056,0.322,0.319,0.826,Yates Elementary
ADAMS MIDDLE SCHOOL,Middle,D,0.414,0.16970628019323672,0.537,0.548,1,0.237,0.062,0.371,0.368,0.816,Adams Middle
SHIELDS MIDDLE SCHOOL,Middle,D,0.467,0.10984091300602929,0.435,0.433,1,0.237,0.062,0.371,0.368,0.816,Shields Middle
EISENHOWER MIDDLE SCHOOL,Middle,D,0.379,0.06389911319770475,0.59,0.495,1,0.237,0.062,0.371,0.368,0.816,Eisenhower Middle
SLIGH MIDDLE SCHOOL,Middle,D,0.324,0.06298403755868544,0.509,0.455,1,0.237,0.062,0.371,0.368,0.816,Sligh Middle
MONROE MIDDLE MAGNET SCHOOL,Middle,D,0.462,0.08498165784832451,0.374,0.484,1,0.237,0.062,0.371,0.368,0.816,Monroe Middle Magnet
SULPHUR SPRINGS K-8 SCHOOL,Combination,D,0.273,0.04866435185185185,0.368,0.539,1,0.196,0.059,0.324,0.234,0.585,Sulphur Springs K-8
